"Comment","DNP","Designator","Footprint"
"B5819WS-TP","","D1","eas_cdb_diode:D_SOD-323_HandSoldering"
"BC817-40,235","","Q1","eas_cdb_bjt:SOT-23"
"RC0603FR-0710KL","","R1, R2, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20","eas_cdb_resistor:R_0603_1608Metric"
"BC817DS,115","","U2, U3, U4, U5, U6","eas_cdb_bjt:TSOP-6_1.65x3.05mm_P0.95mm"
"MC74LVXT4051DR2G","","U7, U8","eas_cdb_switch_solid_state:SOIC-16_3.9x9.9mm_P1.27mm"
"TS5A1066DBVR","","U9, U10, U11","eas_cdb_switch_solid_state:SOT-23-5"
